local_name,english_name,type_of_dish,public_cc_image_url,country,iso3,note
mhadjeb,mhadjeb,Small Plate,https://api.openverse.org/v1/images/79c226e3-abbc-41dd-ba95-d21ecd647ddc/thumb/,Algeria,DZA,"Small plate / bowl served as a part of a collection, Other"
mhadjeb,mhadjeb,Other,https://api.openverse.org/v1/images/79c226e3-abbc-41dd-ba95-d21ecd647ddc/thumb/,Algeria,DZA,"Small plate / bowl served as a part of a collection, Other"
Dobara,dobara,Main Dish,https://api.openverse.org/v1/images/d83d550c-2f8e-4093-9abe-b882f3655a78/thumb/,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Dobara,dobara,Main Dish,https://api.openverse.org/v1/images/d83d550c-2f8e-4093-9abe-b882f3655a78/thumb/,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
zviti,algerian chili dish,Main Dish,https://api.openverse.org/v1/images/7fb6df9a-c3f3-40f1-b665-cfb28b40c81c/thumb/,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
zviti,algerian chili dish,Main Dish,https://api.openverse.org/v1/images/7fb6df9a-c3f3-40f1-b665-cfb28b40c81c/thumb/,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
mchewek,Algerian Almond Cookies,Dessert,https://www.myexcellentdegustations.com/wp-content/uploads/2022/01/9992093D-C065-4A87-871E-6FBBF48BBD84.jpeg,Algeria,DZA,Dessert
Tacharak mseker,sweet tcharak- Algerian Sugar Coated Almond Filled Crescent Cookies,Dessert,https://www.myexcellentdegustations.com/wp-content/uploads/2022/01/C764B073-7AEE-4197-8204-128570E2F684.jpeg,Algeria,DZA,Dessert
Mekrout,Algerian Mekrout,Dessert,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi.ytimg.com%2Fvi%2FCI7dR37XhWE%2Fmaxresdefault.jpg&f=1&nofb=1&ipt=a6857a29c3c1b810d786940a76eb03d7efa42a60d8990cc981c3e30d4e04b9eb&ipo=image,Algeria,DZA,Dessert
chorba frik,freekeh soup,Soup,https://www.cuisineculinaire.com/wp-content/uploads/2017/05/Chorba-frik-traditionnelle-recette-soupe-algerienne_1_680.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
chorba frik,freekeh soup,Main Dish,https://www.cuisineculinaire.com/wp-content/uploads/2017/05/Chorba-frik-traditionnelle-recette-soupe-algerienne_1_680.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
chorba frik,freekeh soup,Main Dish,https://www.cuisineculinaire.com/wp-content/uploads/2017/05/Chorba-frik-traditionnelle-recette-soupe-algerienne_1_680.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
7rira,"hrira, algerian hrira",Soup,https://www.auxdelicesdupalais.net/wp-content/uploads/2020/05/harira-alg%C3%A9rienne1-1024x681.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
7rira,"hrira, algerian hrira",Main Dish,https://www.auxdelicesdupalais.net/wp-content/uploads/2020/05/harira-alg%C3%A9rienne1-1024x681.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
7rira,"hrira, algerian hrira",Main Dish,https://www.auxdelicesdupalais.net/wp-content/uploads/2020/05/harira-alg%C3%A9rienne1-1024x681.jpg,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Creppone,kreponey/algerian ice cream,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Crepone.jpg/375px-Crepone.jpg,Algeria,DZA,Dessert
kaak ne9ash/ lke3k una9ash,nekash,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Nekkache_%2Cpatisserie_Algerienne.jpg/420px-Nekkache_%2Cpatisserie_Algerienne.jpg,Algeria,DZA,Dessert
berkoukes,algerian berkoukes soup,Soup,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.dzbreaking.com%2Fwp-content%2Fuploads%2F2017%2F12%2Fberkoukes-algerien.jpg&f=1&nofb=1&ipt=c42f85d5c0bd30f265588579bf09bccc11a8834aa1c15c,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal)"
berkoukes,algerian berkoukes soup,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fwww.dzbreaking.com%2Fwp-content%2Fuploads%2F2017%2F12%2Fberkoukes-algerien.jpg&f=1&nofb=1&ipt=c42f85d5c0bd30f265588579bf09bccc11a8834aa1c15c,Algeria,DZA,"Soup, Main dish - stand alone (e.g. one pot meal)"
latay,algerian tea/algerian kabyle tea,Other,https://duckduckgo.com/i/1017fe6cab725c05.jpg,Algeria,DZA,Other
tahbult tmellalin,tahbult tmellalin,Side Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tahboult_ntmelaline_%2812793095414%29.jpg/420px-Tahboult_ntmelaline_%2812793095414%29.jpg,Algeria,DZA,"Side dish, Dessert"
tahbult tmellalin,tahbult tmellalin,Dessert,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tahboult_ntmelaline_%2812793095414%29.jpg/420px-Tahboult_ntmelaline_%2812793095414%29.jpg,Algeria,DZA,"Side dish, Dessert"
aḍemmin,adhemin,Side Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Atamine.jpg/420px-Atamine.jpg,Algeria,DZA,Side dish
Adghes,Adghes,Side Dish,https://i0.wp.com/www.amourdecuisine.fr/wp-content/uploads/2013/06/adhress-cuisine-algerienne1.jpg?resize=555%2C727&ssl=1,Algeria,DZA,Side dish
Tikerbabin,Tikerbabin,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Vo2V0wVwW7t2R1WkR0xbhQHaEK%26pid%3DApi&f=1&ipt=a5b633716c138ff40acdc15b9811742984fe2f7356ae28a3fc09a2f9d1bb,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Tikerbabin,Tikerbabin,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.Vo2V0wVwW7t2R1WkR0xbhQHaEK%26pid%3DApi&f=1&ipt=a5b633716c138ff40acdc15b9811742984fe2f7356ae28a3fc09a2f9d1bb,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
tharkoucht,tharkouchth,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP._rqOGPHRDkK1OGf3q9uR8gHaFj%26pid%3DApi&f=1&ipt=715bbbfa49af2972a2c0f6bc0dcb946f5471130b7dd2c2da8555ca5feeaa,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
tharkoucht,tharkouchth,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP._rqOGPHRDkK1OGf3q9uR8gHaFj%26pid%3DApi&f=1&ipt=715bbbfa49af2972a2c0f6bc0dcb946f5471130b7dd2c2da8555ca5feeaa,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Aghroum lehchich,Kabyle herbs bread,Side Dish,https://www.myexcellentdegustations.com/wp-content/uploads/2017/05/9-2.jpg,Algeria,DZA,Side dish
Aghrum Aquran,Dry bread,Other,https://api.openverse.org/v1/images/47c9a50a-20c3-4a1b-a383-a692dc2447ce/thumb/,Algeria,DZA,Other
Takerwait,Takerwait,Other,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.lFmXpz4qN0-3dnxbbkiEZQAAAA%26pid%3DApi&f=1&ipt=d528206db033441916a9229ddc27e10ffe301fb4a594867a3fc4ed1c20a0,Algeria,DZA,Other
Maghlouba,maghlouba/the defeated,Main Dish,https://4.bp.blogspot.com/-CeWON3z6m6M/VSl_aAcOx6I/AAAAAAAATCs/Yr8yx_mOj3U/s1600/Maghlouba%2B(Recette%2Bde%2BGhardaia).jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Maghlouba,maghlouba/the defeated,Main Dish,https://4.bp.blogspot.com/-CeWON3z6m6M/VSl_aAcOx6I/AAAAAAAATCs/Yr8yx_mOj3U/s1600/Maghlouba%2B(Recette%2Bde%2BGhardaia).jpg,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Adrez n tagella,Adrez n tagella,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.explicit.bing.net%2Fth%3Fid%3DOIP.bWriIcYUhZgK5bWH-OvA1wAAAA%26pid%3DApi&f=1&ipt=b22f357040311afde5e4f78d0c3a5f91c16cb8e3d5459608343e24,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Adrez n tagella,Adrez n tagella,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.explicit.bing.net%2Fth%3Fid%3DOIP.bWriIcYUhZgK5bWH-OvA1wAAAA%26pid%3DApi&f=1&ipt=b22f357040311afde5e4f78d0c3a5f91c16cb8e3d5459608343e24,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Aliwa tizalfawen,Aliwa tizalfawen,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.DR21AFeT55Rp9Iq5c7o3-gHaF7%26pid%3DApi&f=1&ipt=30ceea601f184a6ad064f1101b4130901b606c2b35ea571956fbfcf20655,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Aliwa tizalfawen,Aliwa tizalfawen,Main Dish,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.DR21AFeT55Rp9Iq5c7o3-gHaF7%26pid%3DApi&f=1&ipt=30ceea601f184a6ad064f1101b4130901b606c2b35ea571956fbfcf20655,Algeria,DZA,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
les cigares,almond cigarettes,Dessert,https://www.196flavors.com/wp-content/uploads/2019/06/cigare-aux-amandes-1.jpg,Algeria,DZA,Dessert
les cigares,almond cigarettes,Dessert,https://www.196flavors.com/wp-content/uploads/2019/06/cigare-aux-amandes-1.jpg,Morocco,MAR,Dessert
tcharak l3eryan,naked tcharak / gazelle cornets,Dessert,https://www.196flavors.com/wp-content/uploads/2016/11/cornes-de-gazelles-kab-al-gazal-6.jpg,Algeria,DZA,Dessert
tcharak l3eryan,naked tcharak / gazelle cornets,Dessert,https://www.196flavors.com/wp-content/uploads/2016/11/cornes-de-gazelles-kab-al-gazal-6.jpg,Morocco,MAR,Dessert
Griwech,griwesh,Dessert,https://www.196flavors.com/wp-content/uploads/2016/07/griwech-4.jpg,Algeria,DZA,Dessert
Griwech,griwesh,Dessert,https://www.196flavors.com/wp-content/uploads/2016/07/griwech-4.jpg,Morocco,MAR,Dessert
Baghrir/ thighrifin,Baghrir/ thighrifin,Dessert,https://duckduckgo.com/i/837977db.jpg,Algeria,DZA,Dessert
Baghrir/ thighrifin,Baghrir/ thighrifin,Dessert,https://duckduckgo.com/i/837977db.jpg,Morocco,MAR,Dessert
Wiener Schnitzel,Viennese veal escalope,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Wiener_Schnitzel_mit_Sardelle_in_Dresden.JPG/800px-Wiener_Schnitzel_mit_Sardelle_in_Dresden.JPG?20120319192022,Austria,AUT,Main dish - eaten with sides
Wiener Schnitzel,Viennese veal escalope,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Wiener_Schnitzel_mit_Sardelle_in_Dresden.JPG/800px-Wiener_Schnitzel_mit_Sardelle_in_Dresden.JPG?20120319192022,Germany,DEU,Main dish - eaten with sides
Käsespätzle,Cheese spaetzle,Main Dish,https://upload.wikimedia.org/wikipedia/commons/e/e2/2015_0718_K%C3%A4sesp%C3%A4tzle_S%C3%B6lden.jpg,Austria,AUT,Main dish - stand alone (e.g. one pot meal)
Käsespätzle,Cheese spaetzle,Main Dish,https://upload.wikimedia.org/wikipedia/commons/e/e2/2015_0718_K%C3%A4sesp%C3%A4tzle_S%C3%B6lden.jpg,Germany,DEU,Main dish - stand alone (e.g. one pot meal)
Nyamangoro Red Soup,Snails Red Soup,Sauce,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Snails_and_French_fries.jpg/800px-Snails_and_French_fries.jpg?20191114164127,Cameroon,CMR,Sauce
Plantain Chips,Plantain Chips,Starter,https://live.staticflickr.com/65535/49030633548_5133a58ee8_b.jpg,Cameroon,CMR,Starter
Fish Roll,Fish Roll,Starter,https://us.123rf.com/450wm/espies/espies2201/espies220100774/180530231-les-cigares-samosa-en-forme-de-rouleau-sont-parfaits-pour-les-amuse-gueules-servis-avec-du-ketchup.jpg?ver=6,Cameroon,CMR,Starter
Roasted fish,Roasted fish,Main Dish,https://upload.wikimedia.org/wikipedia/commons/6/65/Roasted_fish_and_bobolo.jpg,Cameroon,CMR,Main dish - eaten with sides
Egusi pudding,Egusi pudding,Main Dish,https://upload.wikimedia.org/wikipedia/commons/6/69/Le_mets_de_pistache_%28Nnam_ngon%29.jpg,Cameroon,CMR,Main dish - stand alone (e.g. one pot meal)
Corn chaff,Corn chaff,Main Dish,https://upload.wikimedia.org/wikipedia/commons/f/f6/Cornchaff.jpg,Cameroon,CMR,Main dish - stand alone (e.g. one pot meal)
Pilé pomme,Pounded irish,Main Dish,https://upload.wikimedia.org/wikipedia/commons/c/ca/Pil%C3%A9_pomme_de_terre_haricot_noire.jpg,Cameroon,CMR,Main dish - eaten with sides
Beignets haricot bouillie (BHB),"Puff Puff, beans and pape",Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Beignets_haricot_bouillie.jpg/800px-Beignets_haricot_bouillie.jpg?20230331020425,Cameroon,CMR,Main dish - stand alone (e.g. one pot meal)
Caramels d’arachides,Peanut Caramels,Starter,https://upload.wikimedia.org/wikipedia/commons/d/db/Arachide_au_caramel_de_Niamey_au_Niger.jpg,Cameroon,CMR,Starter
Poulet DG (Directeur Général),Chicken CEO,Main Dish,https://upload.wikimedia.org/wikipedia/commons/e/ed/Poulet_D.G_du_Chef_Alex_Bella_Ola.jpeg,Cameroon,CMR,Main dish - stand alone (e.g. one pot meal)
Couscous maïs,fufu corn,Main Dish,https://upload.wikimedia.org/wikipedia/commons/9/9c/Banku_and_Okra_Soup.jpg,Cameroon,CMR,Main dish - eaten with sides
riz haricot,rice with beans,Small Plate,https://live.staticflickr.com/65535/49313765311_7306d89beb_b.jpg,Cameroon,CMR,Small plate / bowl for sharing
Eru,Gnetum Africanum plant,Soup,https://upload.wikimedia.org/wikipedia/commons/3/35/Eru_traditionnel.jpg,Cameroon,CMR,"Soup, Main dish - eaten with sides"
Eru,Gnetum Africanum plant,Main Dish,https://upload.wikimedia.org/wikipedia/commons/3/35/Eru_traditionnel.jpg,Cameroon,CMR,"Soup, Main dish - eaten with sides"
Krēkrē/Koki,black-eyed beans pudding,Main Dish,https://upload.wikimedia.org/wikipedia/commons/5/50/PLAT_DE_KOKI_%281%29.jpg,Cameroon,CMR,Main dish - stand alone (e.g. one pot meal)
"Nkui, misan phu pe nzap",Triumfetta pentandra,Soup,https://upload.wikimedia.org/wikipedia/commons/5/53/Nkui.jpg,Cameroon,CMR,"Soup, Sauce, Main dish - eaten with sides"
"Nkui, misan phu pe nzap",Triumfetta pentandra,Sauce,https://upload.wikimedia.org/wikipedia/commons/5/53/Nkui.jpg,Cameroon,CMR,"Soup, Sauce, Main dish - eaten with sides"
"Nkui, misan phu pe nzap",Triumfetta pentandra,Main Dish,https://upload.wikimedia.org/wikipedia/commons/5/53/Nkui.jpg,Cameroon,CMR,"Soup, Sauce, Main dish - eaten with sides"
Kati-Kati,Fire grilled chicken,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/PLAT_DE_KATI_KATI_2.jpg/800px-PLAT_DE_KATI_KATI_2.jpg?20230331071647,Cameroon,CMR,Main dish - eaten with sides
Achu Soup,Yellow Soup,Soup,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/PLAT_DE_TARO_SAUCE_JAUNE_%281%29.jpg/800px-PLAT_DE_TARO_SAUCE_JAUNE_%281%29.jpg?20230331071743,Cameroon,CMR,"Soup, Main dish - eaten with sides"
Achu Soup,Yellow Soup,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/PLAT_DE_TARO_SAUCE_JAUNE_%281%29.jpg/800px-PLAT_DE_TARO_SAUCE_JAUNE_%281%29.jpg?20230331071743,Cameroon,CMR,"Soup, Main dish - eaten with sides"
Ndolè,Bitter leaf,Soup,https://live.staticflickr.com/5305/5579476117_bd5a7f5f9e_b.jpg,Cameroon,CMR,"Soup, Main dish - eaten with sides"
Ndolè,Bitter leaf,Main Dish,https://live.staticflickr.com/5305/5579476117_bd5a7f5f9e_b.jpg,Cameroon,CMR,"Soup, Main dish - eaten with sides"
"Doukoko, Okok or fumbwa",leaves of gnetum,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ikok_mix%C3%A9_et_son_manioc_vapeur.jpg/800px-Ikok_mix%C3%A9_et_son_manioc_vapeur.jpg?20141008185532,Cameroon,CMR,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
"Doukoko, Okok or fumbwa",leaves of gnetum,Main Dish,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ikok_mix%C3%A9_et_son_manioc_vapeur.jpg/800px-Ikok_mix%C3%A9_et_son_manioc_vapeur.jpg?20141008185532,Cameroon,CMR,"Main dish - stand alone (e.g. one pot meal), Main dish - eaten with sides"
Kilichi,Dried meat,Starter,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kilishi.JPG,Cameroon,CMR,starter
Kilichi,Dried meat,Starter,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kilishi.JPG,Nigeria,NGA,starter
Saŋa,Sanga,Starter,https://upload.wikimedia.org/wikipedia/commons/e/eb/Le_plat_de_Sanga_au_village_Konde_Yebae.jpg,Cameroon,CMR,Starter
Saŋa,Sanga,Starter,https://upload.wikimedia.org/wikipedia/commons/e/eb/Le_plat_de_Sanga_au_village_Konde_Yebae.jpg,Congo,COG,Starter
Saŋa,Sanga,Starter,https://upload.wikimedia.org/wikipedia/commons/e/eb/Le_plat_de_Sanga_au_village_Konde_Yebae.jpg,Equatorial Guinea,GNQ,Starter
Saŋa,Sanga,Starter,https://upload.wikimedia.org/wikipedia/commons/e/eb/Le_plat_de_Sanga_au_village_Konde_Yebae.jpg,Gabon,GAB,Starter
"Soya,Suya",Skewered Meat,Starter,https://upload.wikimedia.org/wikipedia/commons/6/60/Nigerian_home_made_suya_and_sliced_onions.png,Cameroon,CMR,starter
"Soya,Suya",Skewered Meat,Starter,https://upload.wikimedia.org/wikipedia/commons/6/60/Nigerian_home_made_suya_and_sliced_onions.png,Nigeria,NGA,starter
Ekpang Nkukwo,E-kpa-ng,Starter,https://upload.wikimedia.org/wikipedia/commons/7/75/Ekpang.png,Cameroon,CMR,"Starter, Main dish - stand alone (e.g. one pot meal)"
Ekpang Nkukwo,E-kpa-ng,Main Dish,https://upload.wikimedia.org/wikipedia/commons/7/75/Ekpang.png,Cameroon,CMR,"Starter, Main dish - stand alone (e.g. one pot meal)"
Ekpang Nkukwo,E-kpa-ng,Starter,https://upload.wikimedia.org/wikipedia/commons/7/75/Ekpang.png,Nigeria,NGA,"Starter, Main dish - stand alone (e.g. one pot meal)"
Ekpang Nkukwo,E-kpa-ng,Main Dish,https://upload.wikimedia.org/wikipedia/commons/7/75/Ekpang.png,Nigeria,NGA,"Starter, Main dish - stand alone (e.g. one pot meal)"
زلابيه,Zalabia,Dessert,https://upload.wikimedia.org/wikipedia/commons/0/02/Lgemat.JPG,Egypt,EGY,Dessert
قطايف,Qatayef,Dessert,https://upload.wikimedia.org/wikipedia/commons/6/66/%D9%82%D8%B7%D8%A7%D9%8A%D9%81_%D9%85%D8%B5%D8%B1%D9%8A%D8%A9.jpg,Egypt,EGY,Dessert
غريبه,Ghraybeh,Dessert,https://upload.wikimedia.org/wikipedia/commons/d/d1/%D8%AD%D9%84%D8%A7%D9%88%D8%A9_%D8%A7%D9%84%D9%85%D8%AD%D9%8A%D8%A7_-_%D8%BA%D8%B1%D9%8A%D8%A8%D8%A9.jpg,Egypt,EGY,Dessert
